PROVEEDOR,MES,MES_NOMBRE,DEMANDA_ESPERADA,PROB_DESABASTO,STOCK_SEG_REC,DIST_DEMANDA
PROV19,7,Jul,130341.0,55.6%,476337.0,gamma
PROV19,8,Ago,311497.0,58.2%,1169334.0,gamma
PROV19,9,Sep,331873.0,58.0%,1205541.0,gamma
PROV19,10,Oct,475084.0,64.3%,1821904.0,gamma
PROV19,11,Nov,893734.0,88.6%,3638434.0,gamma
PROV19,12,Dic,511725.0,99.9%,1969167.0,gamma
PROV1,7,Jul,325914.0,51.7%,1132919.0,gamma
PROV1,8,Ago,581178.0,51.5%,2003151.0,gamma
PROV1,9,Sep,371031.0,51.4%,1230612.0,gamma
PROV1,10,Oct,373903.0,53.4%,1276480.0,gamma
PROV1,11,Nov,654452.0,55.7%,2307653.0,gamma
PROV1,12,Dic,461437.0,83.2%,1809759.0,gamma
PROV25,7,Jul,76979.0,37.1%,14653.0,norm
PROV25,8,Ago,247510.0,37.4%,48149.0,norm
PROV25,9,Sep,321119.0,36.3%,60523.0,norm
PROV25,10,Oct,409916.0,37.5%,79051.0,norm
PROV25,11,Nov,876508.0,40.4%,177562.0,norm
PROV25,12,Dic,631628.0,48.8%,146777.0,norm
PROV42,7,Jul,153672.0,61.6%,586979.0,gamma
PROV42,8,Ago,208010.0,88.6%,765087.0,gamma
PROV42,9,Sep,293928.0,63.4%,1042025.0,gamma
PROV42,10,Oct,454276.0,57.0%,1506736.0,gamma
PROV42,11,Nov,1009823.0,78.3%,3679193.0,gamma
PROV42,12,Dic,1067863.0,52.4%,3419921.0,gamma
PROV31,7,Jul,7171.0,44.5%,1539.0,norm
PROV31,8,Ago,16266.0,65.3%,4602.0,norm
PROV31,9,Sep,18710.0,54.6%,4605.0,norm
PROV31,10,Oct,21815.0,40.8%,4447.0,norm
PROV31,11,Nov,29379.0,40.6%,5971.0,norm
PROV31,12,Dic,20578.0,47.7%,4714.0,norm
PROV33,7,Jul,110119.0,37.1%,20991.0,norm
PROV33,8,Ago,172848.0,38.1%,34104.0,norm
PROV33,9,Sep,192118.0,36.7%,36418.0,norm
PROV33,10,Oct,187445.0,39.6%,37358.0,norm
PROV33,11,Nov,308528.0,39.1%,61089.0,norm
PROV33,12,Dic,292470.0,37.2%,56844.0,norm
PROV41,7,Jul,4413596.0,59.9%,17397834.0,gamma
PROV41,8,Ago,5305631.0,69.3%,20454499.0,gamma
PROV41,9,Sep,3491205.0,56.2%,12529067.0,gamma
PROV41,10,Oct,3254504.0,73.5%,12306307.0,gamma
PROV41,11,Nov,5567622.0,72.4%,23469575.0,gamma
PROV41,12,Dic,3798136.0,50.4%,13547304.0,gamma
PROV21,7,Jul,47429.0,53.9%,162560.0,gamma
PROV21,8,Ago,88197.0,52.8%,165570.0,norm
PROV21,9,Sep,98217.0,54.6%,181496.0,norm
PROV21,10,Oct,156477.0,61.2%,315232.0,norm
PROV21,11,Nov,407124.0,47.4%,723481.0,norm
PROV21,12,Dic,410505.0,58.8%,846757.0,norm
PROV11,7,Jul,153211.0,73.1%,190200.0,norm
PROV11,8,Ago,291542.0,95.8%,317002.0,norm
PROV11,9,Sep,333685.0,99.5%,292781.0,norm
PROV11,10,Oct,573776.0,90.6%,693562.0,norm
PROV11,11,Nov,1362883.0,99.9%,1701956.0,norm
PROV11,12,Dic,1050526.0,50.3%,1257478.0,norm
PROV45,7,Jul,128922.0,58.4%,210451.0,norm
PROV45,8,Ago,266247.0,85.2%,546729.0,norm
PROV45,9,Sep,209011.0,77.6%,410593.0,norm
PROV45,10,Oct,198883.0,86.1%,430648.0,norm
PROV45,11,Nov,393117.0,89.0%,862300.0,norm
PROV45,12,Dic,148156.0,57.4%,202204.0,norm
PROV2,7,Jul,52126.0,52.4%,77884.0,norm
PROV2,8,Ago,91293.0,80.6%,159104.0,norm
PROV2,9,Sep,80458.0,76.0%,142843.0,norm
PROV2,10,Oct,88245.0,64.6%,161559.0,norm
PROV2,11,Nov,160090.0,74.2%,332291.0,norm
PROV2,12,Dic,127313.0,52.1%,323245.0,gamma
PROV43,7,Jul,320418.0,36.2%,59890.0,norm
PROV43,8,Ago,451187.0,38.8%,90319.0,norm
PROV43,9,Sep,337559.0,37.6%,64966.0,norm
PROV43,10,Oct,251787.0,41.6%,52005.0,norm
PROV43,11,Nov,389273.0,59.5%,102096.0,norm
PROV43,12,Dic,175708.0,77.6%,57308.0,norm
PROV23,7,Jul,33826.0,36.2%,6323.0,norm
PROV23,8,Ago,62668.0,36.9%,12065.0,norm
PROV23,9,Sep,79532.0,36.5%,15032.0,norm
PROV23,10,Oct,127086.0,37.9%,24648.0,norm
PROV23,11,Nov,259591.0,39.1%,51487.0,norm
PROV23,12,Dic,323770.0,41.7%,67701.0,norm
PROV48,7,Jul,3253407.0,64.1%,15848120.0,gamma
PROV48,8,Ago,3621501.0,64.1%,16603300.0,gamma
PROV48,9,Sep,2565980.0,55.6%,10590733.0,gamma
PROV48,10,Oct,2338764.0,61.2%,9787425.0,gamma
PROV48,11,Nov,3915536.0,62.2%,16239398.0,gamma
PROV48,12,Dic,3335144.0,93.2%,14249567.0,gamma
PROV13,7,Jul,672008.0,54.3%,2201865.0,gamma
PROV13,8,Ago,753724.0,57.7%,2288676.0,gamma
PROV13,9,Sep,563897.0,64.4%,1781973.0,gamma
PROV13,10,Oct,507330.0,64.5%,1608913.0,gamma
PROV13,11,Nov,731833.0,85.5%,2376906.0,gamma
PROV13,12,Dic,918842.0,80.1%,3225873.0,gamma
PROV36,7,Jul,1477362.0,50.8%,6199905.0,gamma
PROV36,8,Ago,1848561.0,54.7%,7778810.0,gamma
PROV36,9,Sep,1314886.0,57.0%,5368697.0,gamma
PROV36,10,Oct,1394403.0,65.9%,5963620.0,gamma
PROV36,11,Nov,1984684.0,79.4%,8076003.0,gamma
PROV36,12,Dic,1931956.0,83.7%,7781161.0,gamma
PROV3,7,Jul,1476779.0,54.3%,5173702.0,gamma
PROV3,8,Ago,1752913.0,62.7%,6782186.0,gamma
