PROVEEDOR,VENTAS_TOTAL,NEGADOS_TOTAL_RAW,NEGADOS_AJUST,DEMANDA_TOTAL,DEMANDA_MEDIA,DEMANDA_STD,FULFILLMENT_RATE,TASA_NEGADOS,SCORE_RIESGO,NIVEL_RIESGO
PROV16,98564,71938,17984.5,116548.5,8.372737068965517,8.15872033838657,0.8456908497320857,0.15430915026791425,0.1543,ALTO
PROV15,35178441,14047000,3511750.0,38690191.0,1106.3823563054045,1315.0668462953374,0.9092341001883397,0.09076589981166028,0.0908,ALTO
PROV48,34492213,13526460,3381615.0,37873828.0,1446.11790759832,2892.939054516059,0.9107136727768843,0.08928632722311569,0.0893,ALTO
PROV46,39821,14557,3639.25,43460.25,6.244288793103448,5.2303864253311145,0.9162625617662117,0.08373743823378832,0.0837,ALTO
PROV32,38867712,14012206,3503051.5,42370763.5,2201.0786233766235,3305.883939187291,0.9173238523303928,0.08267614766960718,0.0827,ALTO
PROV24,172309,46502,11625.5,183934.5,11.745498084291187,10.490275109365168,0.936795435331599,0.06320456466840096,0.0632,ALTO
PROV27,2825888,694236,173559.0,2999447.0,96.3213551701991,136.99081443230511,0.94213633379753,0.057863666202469966,0.0579,ALTO
PROV7,624863,151726,37931.5,662794.5,76.18327586206897,151.5990563426039,0.9427703458613492,0.057229654138650776,0.0572,ALTO
PROV45,2468892,502689,125672.25,2594564.25,82.84049329501916,278.88531684290996,0.951563253829617,0.04843674617038296,0.0484,ALTO
PROV20,803991,138583,34645.75,838636.75,80.09902101241643,163.44887126634157,0.9586880136125683,0.04131198638743172,0.0413,ALTO
PROV10,16779582,2782487,695621.75,17475203.75,1670.6695745697896,3233.010001867475,0.960193783148308,0.039806216851691945,0.0398,ALTO
PROV31,109443,18011,4502.75,113945.75,21.8286877394636,12.672059670192661,0.9604833879280271,0.03951661207197288,0.0395,ALTO
PROV43,1860966,261381,65345.25,1926311.25,276.7688577586207,264.9925878406656,0.9660775225187518,0.033922477481248214,0.0339,ALTO
PROV29,623812,81249,20312.25,644124.25,74.03727011494253,122.60816306865895,0.968465323266435,0.031534676733565026,0.0315,ALTO
PROV28,32506,4100,1025.0,33531.0,6.423563218390805,7.277258641595805,0.9694312725537563,0.030568727446243726,0.0306,ALTO
PROV5,3846263,482284,120571.0,3966834.0,283.750643776824,446.1894332717272,0.969605231779298,0.030394768220701973,0.0304,MEDIO
PROV34,1759027,207656,51914.0,1810941.0,344.94114285714284,444.029032104132,0.9713331356460536,0.028666864353946386,0.0287,MEDIO
PROV21,2219535,243106,60776.5,2280311.5,108.74160705770147,212.49885428857914,0.9733472817200632,0.02665271827993676,0.0267,MEDIO
PROV26,16130903,1734607,433651.75,16564554.75,1899.6049025229358,3462.6061037361774,0.9738205006687548,0.026179499331245193,0.0262,MEDIO
PROV11,7339538,755530,188882.5,7528420.5,216.7075561312608,473.51338601669494,0.974910739908856,0.025089260091143983,0.0251,MEDIO
PROV41,49960367,5064284,1266071.0,51226438.0,3256.6076287349015,5413.765975483781,0.975284812892905,0.02471518710709497,0.0247,MEDIO
PROV8,628116,63062,15765.5,643881.5,92.51170977011495,132.15750812722567,0.9755149045282401,0.02448509547175992,0.0245,MEDIO
PROV37,953551,87509,21877.25,975428.25,70.22521598272138,114.54393367045452,0.9775716460949332,0.02242835390506681,0.0224,MEDIO
PROV19,5198067,471908,117977.0,5316044.0,219.03765966213433,344.87987307514004,0.977807369540207,0.022192630459793028,0.0222,MEDIO
PROV36,19404699,1741057,435264.25,19839963.25,597.5892545180723,1612.8161568193627,0.9780612370841967,0.021938762915803323,0.0219,MEDIO
PROV9,20995772,1750174,437543.5,21433315.5,682.8071201019433,1490.2970028680268,0.9795858228280174,0.020414177171982573,0.0204,MEDIO
PROV35,15201714,1206956,301739.0,15503453.0,1479.3371183206107,2039.3350014666512,0.9805373035284463,0.019462696471553742,0.0195,MEDIO
PROV44,11565442,908829,227207.25,11792649.25,398.4003125,1214.8644252365998,0.980733146116425,0.019266853883574964,0.0193,MEDIO
PROV13,12138764,941639,235409.75,12374173.75,283.9415729692519,823.3030745399518,0.9809757196919916,0.0190242803080084,0.019,MEDIO
PROV47,15217318,1138235,284558.75,15501876.75,178.55190912232206,424.70249184138254,0.9816435935732749,0.01835640642672509,0.0184,BAJO
PROV25,2523771,162078,40519.5,2564290.5,164.69431599229287,306.6567848742643,0.9841985531670456,0.01580144683295437,0.0158,BAJO
PROV40,647705,41543,10385.75,658090.75,189.10653735632184,166.09272699476116,0.9842183619812314,0.01578163801876864,0.0158,BAJO
PROV18,11438923,682987,170746.75,11609669.75,3317.0485,2933.4067183629872,0.9852927125683313,0.014707287431668714,0.0147,BAJO
PROV12,429910,24403,6100.75,436010.75,125.29044540229886,109.01906834827929,0.9860077991196318,0.013992200880368233,0.014,BAJO
PROV42,6302769,309522,77380.5,6380149.5,406.63795411089865,1164.3093406408673,0.9878716791824392,0.012128320817560767,0.0121,BAJO
