PROV_RIESGO,PROV_A_DESARROLLAR,MES,MES_NOMBRE,PROB_ACTUAL,PROB_TRANSFERIDA,VOLUMEN_SALVADO
PROV16,PROV6,7,Jul,36.6%,0.0%,229.0
PROV16,PROV6,8,Ago,40.2%,0.0%,557.0
PROV16,PROV6,9,Sep,37.7%,0.0%,455.0
PROV16,PROV6,10,Oct,49.8%,0.0%,876.0
PROV16,PROV6,11,Nov,63.4%,0.0%,2801.0
PROV16,PROV6,12,Dic,99.9%,0.0%,12848.0
PROV16,PROV1,7,Jul,36.6%,2.2%,218.0
PROV16,PROV1,8,Ago,40.2%,2.8%,522.0
PROV16,PROV1,9,Sep,37.7%,2.1%,434.0
PROV16,PROV1,10,Oct,49.8%,3.8%,817.0
PROV16,PROV1,11,Nov,63.4%,7.8%,2513.0
PROV16,PROV1,12,Dic,99.9%,48.3%,9124.0
PROV16,PROV33,7,Jul,36.6%,0.0%,229.0
PROV16,PROV33,8,Ago,40.2%,0.0%,557.0
PROV16,PROV33,9,Sep,37.7%,0.0%,455.0
PROV16,PROV33,10,Oct,49.8%,0.0%,876.0
PROV16,PROV33,11,Nov,63.4%,0.0%,2801.0
PROV16,PROV33,12,Dic,99.9%,0.0%,12848.0
PROV15,PROV6,7,Jul,54.5%,47.8%,23232.0
PROV15,PROV6,8,Ago,57.7%,52.2%,25267.0
PROV15,PROV6,9,Sep,57.3%,51.9%,22205.0
PROV15,PROV6,10,Oct,61.5%,56.5%,18975.0
PROV15,PROV6,11,Nov,73.2%,66.0%,35792.0
PROV15,PROV6,12,Dic,54.5%,50.8%,20351.0
PROV15,PROV1,7,Jul,54.5%,44.1%,118509.0
PROV15,PROV1,8,Ago,57.7%,45.2%,216038.0
PROV15,PROV1,9,Sep,57.3%,46.4%,143560.0
PROV15,PROV1,10,Oct,61.5%,49.6%,143187.0
PROV15,PROV1,11,Nov,73.2%,58.5%,235087.0
PROV15,PROV1,12,Dic,54.5%,52.3%,9733.0
PROV15,PROV33,7,Jul,54.5%,45.0%,54936.0
PROV15,PROV33,8,Ago,57.7%,46.9%,91006.0
PROV15,PROV33,9,Sep,57.3%,46.1%,100449.0
PROV15,PROV33,10,Oct,61.5%,48.8%,103294.0
PROV15,PROV33,11,Nov,73.2%,56.5%,197994.0
PROV15,PROV33,12,Dic,54.5%,43.5%,144107.0
PROV48,PROV6,7,Jul,64.1%,57.2%,27784.0
PROV48,PROV6,8,Ago,64.1%,59.1%,28466.0
PROV48,PROV6,9,Sep,55.6%,50.8%,21648.0
PROV48,PROV6,10,Oct,61.2%,56.7%,19061.0
PROV48,PROV6,11,Nov,62.2%,58.1%,31156.0
PROV48,PROV6,12,Dic,93.2%,84.1%,34231.0
PROV48,PROV1,7,Jul,64.1%,52.2%,139853.0
PROV48,PROV1,8,Ago,64.1%,51.0%,248872.0
PROV48,PROV1,9,Sep,55.6%,44.8%,139431.0
PROV48,PROV1,10,Oct,61.2%,49.5%,143535.0
PROV48,PROV1,11,Nov,62.2%,52.0%,214618.0
PROV48,PROV1,12,Dic,93.2%,88.2%,16312.0
PROV48,PROV33,7,Jul,64.1%,53.9%,65709.0
PROV48,PROV33,8,Ago,64.1%,53.8%,103511.0
PROV48,PROV33,9,Sep,55.6%,44.3%,97523.0
PROV48,PROV33,10,Oct,61.2%,49.0%,103791.0
PROV48,PROV33,11,Nov,62.2%,50.7%,175939.0
PROV48,PROV33,12,Dic,93.2%,67.2%,230756.0
PROV46,PROV6,7,Jul,36.2%,0.0%,150.0
PROV46,PROV6,8,Ago,38.7%,0.0%,293.0
PROV46,PROV6,9,Sep,40.6%,0.0%,211.0
PROV46,PROV6,10,Oct,39.2%,0.0%,162.0
PROV46,PROV6,11,Nov,48.4%,0.0%,504.0
PROV46,PROV6,12,Dic,93.2%,0.0%,2628.0
PROV46,PROV1,7,Jul,36.2%,1.8%,144.0
PROV46,PROV1,8,Ago,38.7%,2.0%,278.0
PROV46,PROV1,9,Sep,40.6%,1.5%,205.0
PROV46,PROV1,10,Oct,39.2%,1.7%,156.0
PROV46,PROV1,11,Nov,48.4%,3.3%,473.0
PROV46,PROV1,12,Dic,93.2%,12.0%,2412.0
PROV46,PROV33,7,Jul,36.2%,0.0%,150.0
PROV46,PROV33,8,Ago,38.7%,0.0%,293.0
PROV46,PROV33,9,Sep,40.6%,0.0%,211.0
PROV46,PROV33,10,Oct,39.2%,0.0%,162.0
PROV46,PROV33,11,Nov,48.4%,0.0%,504.0
PROV46,PROV33,12,Dic,93.2%,0.0%,2628.0
PROV32,PROV6,7,Jul,65.5%,63.5%,30209.0
PROV32,PROV6,8,Ago,48.4%,46.8%,22215.0
PROV32,PROV6,9,Sep,37.5%,35.5%,15083.0
PROV32,PROV6,10,Oct,40.6%,38.9%,12974.0
PROV32,PROV6,11,Nov,52.9%,51.1%,27181.0
PROV32,PROV6,12,Dic,93.6%,93.1%,36489.0
PROV32,PROV1,7,Jul,65.5%,55.4%,140979.0
PROV32,PROV1,8,Ago,48.4%,35.2%,143073.0
PROV32,PROV1,9,Sep,37.5%,26.3%,71281.0
PROV32,PROV1,10,Oct,40.6%,28.9%,72248.0
PROV32,PROV1,11,Nov,52.9%,40.6%,142798.0
PROV32,PROV1,12,Dic,93.6%,93.3%,17316.0
PROV32,PROV33,7,Jul,65.5%,61.0%,72913.0
PROV32,PROV33,8,Ago,48.4%,42.2%,81579.0
PROV32,PROV33,9,Sep,37.5%,28.4%,66054.0
PROV32,PROV33,10,Oct,40.6%,30.6%,69212.0
PROV32,PROV33,11,Nov,52.9%,41.2%,151536.0
PROV32,PROV33,12,Dic,93.6%,88.7%,279184.0
PROV24,PROV6,7,Jul,44.0%,0.0%,356.0
PROV24,PROV6,8,Ago,42.8%,0.0%,840.0
PROV24,PROV6,9,Sep,40.6%,0.0%,763.0
PROV24,PROV6,10,Oct,40.9%,0.0%,1132.0
PROV24,PROV6,11,Nov,44.7%,0.0%,2458.0
PROV24,PROV6,12,Dic,77.2%,0.0%,7338.0
PROV24,PROV1,7,Jul,44.0%,2.8%,336.0
PROV24,PROV1,8,Ago,42.8%,3.4%,779.0
PROV24,PROV1,9,Sep,40.6%,2.8%,718.0
PROV24,PROV1,10,Oct,40.9%,3.8%,1041.0
PROV24,PROV1,11,Nov,44.7%,5.5%,2180.0
PROV24,PROV1,12,Dic,77.2%,28.1%,5349.0
PROV24,PROV33,7,Jul,44.0%,0.0%,356.0
PROV24,PROV33,8,Ago,42.8%,0.0%,840.0
PROV24,PROV33,9,Sep,40.6%,0.0%,763.0
PROV24,PROV33,10,Oct,40.9%,0.0%,1132.0
PROV24,PROV33,11,Nov,44.7%,0.0%,2458.0
PROV24,PROV33,12,Dic,77.2%,0.0%,7338.0
PROV27,PROV6,7,Jul,37.1%,0.0%,3443.0
PROV27,PROV6,8,Ago,37.6%,6.8%,9243.0
PROV27,PROV6,9,Sep,37.0%,11.5%,9340.0
PROV27,PROV6,10,Oct,39.6%,24.1%,10205.0
PROV27,PROV6,11,Nov,49.6%,37.0%,22492.0
PROV27,PROV6,12,Dic,85.9%,72.6%,31203.0
